y,Ne,Nd,Pe,Pd+,Te,Td+,Td,NVd+,NVd
0.009765625,8.293303534834297e+18,7939901518383.251,34.50351962336299,85.80896633148461,25.96721920589368,64.57950615920588,64.36780977095687,3.5702188084480057e+19,-18591390987323.77
0.029296875,8.29637645763957e+18,7942652361276.486,34.50766199605889,85.79149223716801,25.960717499565444,64.54244027170691,64.34890018817005,3.574074785685248e+19,-68880802028262.055
0.048828125,8.300870808842715e+18,7947938688258.447,34.51769100894232,85.78860691911102,25.95420247141307,64.50532547493718,64.31160486079015,3.16548165731632e+18,-122661185143482.9
0.068359375,8.304837006912061e+18,7953868539532.425,34.525520485827705,85.78016696155129,25.9476915962857,64.46817616432918,64.27011328865828,9.25282751283953e+18,-163448188453400.1
0.087890625,8.308831636612388e+18,7959957487369.212,34.5334475197479,85.77192907510553,25.941171453896462,64.43099363997456,64.2295105359876,1.3423615791107074e+19,-198047966474727.38
0.107421875,8.312853750093301e+18,7966072089238.447,34.541471117709825,85.7638827981217,25.93464433606696,64.39377781871059,64.19031821227024,1.6142678833580102e+19,-227125157587161.97
0.126953125,8.316874632030758e+18,7972254041158.825,34.54947227699623,85.75573137582359,25.928110531353386,64.35652861531263,64.15191747701594,1.9218749275911033e+19,-251573920075907.16
0.146484375,8.320905644842274e+18,7978550266159.597,34.55749786313451,85.747591744682,25.921569803775967,64.31924594601301,64.11381739833689,2.2328967216093303e+19,-272483259193666.2
0.166015625,8.324947071675845e+18,7984968340930.635,34.56554905605998,85.7394664690456,25.915022190487928,64.28192973176363,64.07581885460809,2.5544958076443374e+19,-290354840715170.56
0.185546875,8.328999318554207e+18,7991498595706.022,34.57362748000474,85.73135937569081,25.908467680236747,64.24457989724255,64.03788099674803,2.8923656220688646e+19,-305536033140292.6
0.205078125,8.333062934600378e+18,7998127850374.788,34.58173534686565,85.72327575630507,25.90190625848351,64.20719636943454,64.00000826506613,3.24735531490074e+19,-318349177295414.5
0.224609375,8.337137861932656e+18,8004844165336.342,34.58987235375594,85.7152146485728,25.895337915206362,64.1697790756244,63.96220492592495,3.619228708655342e+19,-329094135717487.8
0.244140625,8.341223713307912e+18,8011637715492.515,34.59803682989615,85.70717170462594,25.88876263896377,64.13232794148733,63.92446753254292,4.00588972510594e+19,-338054600199693.3
0.263671875,8.345319754737801e+18,8018500182932.06,34.606225667380265,85.69913901996892,25.8821804177325,64.09484288925995,63.886788318724065,4.403178940737962e+19,-345499692445612.2
0.283203125,8.349424816454346e+18,8025424124186.808,34.61443395433183,85.69110422710877,25.875591239233504,64.05732383547534,63.84915826636697,4.8042585367915225e+19,-351688005512784.75
0.302734375,8.353537243782168e+18,8032402645176.326,34.622654773642594,85.683050000794,25.86899509096719,64.01977068798776,63.811567977528604,5.199144745975574e+19,-356872814775049.0
0.322265625,8.357654944741617e+18,8039429274658.479,34.63087940199982,85.67495455644301,25.862391959616925,63.982183342843385,63.77400734049657,5.574918953810684e+19,-361305677309370.94
0.341796875,8.361775451015084e+18,8046497866150.265,34.63909756294474,85.6667922834201,25.855781829683732,63.94456168087899,63.73646479647479,5.91535375097956e+19,-365241589749215.3
0.361328125,8.365895749536329e+18,8053602540134.384,34.64729673231418,85.65853202938025,25.849164684159398,63.90690556569845,63.69892641128669,6.200580352434997e+19,-368941060367234.4
0.380859375,8.370011924530695e+18,8060737905923.562,34.65546067572457,85.65013344474299,25.84254051696361,63.86921483691748,63.661376007060724,6.409947105719517e+19,-372648088707708.9
0.400390625,8.374122152185592e+18,8067899813931.626,34.66358179620208,85.64157764546698,25.835909293231584,63.8314893169567,63.623797947405926,6.517069516895062e+19,-376548291589049.5
0.419921875,8.378222691596154e+18,8075085558308.02,34.67164466732086,85.63282614614472,25.82927104988836,63.79372879039433,63.58617879158416,6.532370145848707e+19,-380757206023070.94
0.439453125,8.382321170481407e+18,8082292617567.015,34.67968066778127,85.62395675243869,25.822625640926987,63.75593309564577,63.54850546582437,6.453281958026897e+19,-385388379693520.4
0.458984375,8.386407800149124e+18,8089519066015.275,34.687649456790545,85.61486921407061,25.815973181321134,63.71810201839235,63.510762563453405,6.254659501836414e+19,-390525349938207.7
0.478515625,8.390486387726237e+18,8096764831040.244,34.69556669370076,85.60560223467691,25.809313591053467,63.68023534641035,63.472937870376626,5.950110262538022e+19,-396141591314553.75
0.498046875,8.39456060136804e+18,8104031507773.181,34.703447531122734,85.59619302798383,25.802646852686546,63.64233288216687,63.43502614500851,5.562111427121774e+19,-402114912591728.8
0.517578125,8.398634989466608e+18,8111321956177.149,34.71131074438345,85.58668773004231,25.79597294908229,63.60439445908555,63.3970283987898,5.120504777375911e+19,-408247422566710.3
0.537109375,8.402715072660118e+18,8118639895341.171,34.71917910938095,85.5771423099246,25.78929186520985,63.566419941931095,63.358950589544094,4.66183185986575e+19,-414287119970391.0
0.556640625,8.406807527970663e+18,8125989445169.786,34.72708015598008,85.5676244242452,25.782603586667047,63.5284092342805,63.320802690231424,4.227723108247837e+19,-419950950810574.56
0.576171875,8.410919849614244e+18,8133375078734.968,34.735044751986024,85.55820993394597,25.775908093008958,63.49036228042223,63.282602612334315,3.865982530066696e+19,-424958404186658.8
0.595703125,8.415058047464571e+18,8140802276785.23,34.74309769778663,85.54895952672861,25.769205432985466,63.4522790990595,63.24437319024669,3.639735447833848e+19,-428990643703121.75
0.615234375,8.419238465981145e+18,8148274542736.776,34.751306126262975,85.54003875320967,25.762495433861965,63.414159716514696,63.20613685037747,3.5701608662076654e+19,-431500079220930.7
0.634765625,8.423450289061829e+18,8155807369620.132,34.759625737505374,85.5313371066347,25.75577845425417,63.37600425562374,63.167994190095115,3.735405544072983e+19,-432273976963725.9
0.654296875,8.42773478442104e+18,8163389047313.054,34.768226130862345,85.52327290832999,25.74905409930847,63.33781285880255,63.129924818417415,4.27852942139101e+19,-430826625992403.06
0.673828125,8.432096530701732e+18,8171044448405.148,34.7771261695343,85.51589169375836,25.7423225387045,63.299585902241716,63.09207869129227,5.261362801571359e+19,-426492127191401.75
0.693359375,8.436536055008029e+18,8178766437869.826,34.78632778222796,85.50919778482196,25.735583787502193,63.26132373613207,63.054533331797245,6.6919032515138126e+19,-419331862898191.8
0.712890625,8.441049024709826e+18,8186547730133.154,34.795812848312025,85.50314625330222,25.728837850630036,63.22302670390357,63.01734276789593,8.538673196064306e+19,-409736666472969.44
0.732421875,8.445623412758487e+18,8194375338415.961,34.80553157184785,85.49761431839443,25.72208474497502,63.18469510134911,62.98055394186222,1.0722926621893819e+20,-398470480124927.8
0.751953125,8.450239811095022e+18,8202229866526.721,34.81540379435441,85.49240467523875,25.715324484420744,63.14632911838024,62.944196071157556,1.3118093339047787e+20,-386670607277223.0
0.771484375,8.454872959674922e+18,8210087414196.986,34.82532532323768,85.487261123299,25.708557072676996,63.107928795511214,62.90828630289713,1.5561143540010438e+20,-375906578465834.0
0.791015625,8.459493414054233e+18,8217917623036.728,34.83517484226267,85.48188556137399,25.701782511845316,63.069493997008884,62.872779142791856,1.7866049317138625e+20,-368042547520941.5
