y,Ne,Nd,Pe,Pd+,Te,Td+,Td,NVd+,NVd
0.029296875,6.972607238872841e+18,10922052909153.959,22.73440644819326,71.88054425011646,20.350637758253526,64.3436605224733,63.54462272798443,1.0870421633719421e+18,-99233535172922.3
0.048828125,6.974292028640722e+18,10923482617685.213,22.726711996570188,71.85583649396085,20.338835623276196,64.30600519840598,63.5407785224852,1.358407028988869e+18,-165151694838878.62
0.068359375,6.976868814722672e+18,10925592905814.34,22.721897672198196,71.8402346004844,20.32701692924567,64.26829742623333,63.535130064099974,1.3770409677443471e+18,-230737328775182.78
0.087890625,6.980139768760897e+18,10928360204230.033,22.719314651061442,71.83168648671963,20.315181824117253,64.2305371827674,63.52775818360507,1.244222054355723e+18,-295880621540417.25
0.107421875,6.983910571202378e+18,10931761350688.01,22.718328773553523,71.82818140981863,20.303332030253234,64.19272489505128,63.518740913738355,1.0358881071000302e+18,-360481573454506.94
0.126953125,6.988016046686287e+18,10935773713557.822,22.71839743334555,71.82801143690651,20.29146510112444,64.15485970641737,63.50815349494919,8.049076804125413e+17,-424450515502749.9
0.146484375,6.99232441414625e+18,10940375304653.959,22.71908962377215,71.82981623478551,20.279580244214817,64.11694126444928,63.49606835768461,5.849319887821775e+17,-487708349033641.0
0.166015625,6.996737525070711e+18,10945544874143.49,22.720088108135407,71.83258502779884,20.26767984240513,64.0789701777655,63.48255509500085,3.9473746735805466e+17,-550186463636576.56
0.185546875,7.001187470156408e+18,10951261983779.984,22.721170829263084,71.83561852104123,20.25576297131357,64.04094601060689,63.46768043854992,2.4231787337489946e+17,-611826376934913.8
0.205078125,7.005631388294581e+18,10957507049791.91,22.72219842439364,71.83847621191521,20.24382954183308,64.0028685835915,63.45150826204357,1.284238041225661e+17,-672579160692390.6
0.224609375,7.01004575569625e+18,10964261362301.197,22.72309454086509,71.84091680887786,20.231879465464754,63.96473771001641,63.43409960711772,4.943751519729174e+16,-732404725635041.0
0.244140625,7.014420968376729e+18,10971507083822.096,22.723828103629007,71.84284216000908,20.21991265632712,63.92655319898153,63.41551273393918,-466529063340486.56,-791271025917719.5
0.263671875,7.018756668803655e+18,10979227231383.016,22.72439805359769,71.84424899452112,20.207929033015496,63.888314857604094,63.395803193576384,-2.7808066413272176e+16,-849153237079372.0
0.283203125,7.023058005865633e+18,10987405646892.31,22.724821159111915,71.84519038138913,20.19592852025899,63.85002249243081,63.375023917548525,-3.882805125552394e+16,-906032948448808.5
0.302734375,7.027333035831396e+18,10996026960097.1,22.725123551194788,71.84574898918302,20.183911042753564,63.811675910242265,63.35322531906643,-3.893838683916385e+16,-961897399228987.6
0.322265625,7.031590089017866e+18,11005076546988.812,22.725332199554998,71.8460100685144,20.171876538307906,63.77327489911689,63.33045540244003,-3.2496220987451044e+16,-1016738773373363.2
0.341796875,7.035837466260176e+18,11014540487850.598,22.725473909232417,71.84605841668282,20.159824939971166,63.73481929347833,63.306759873852116,-2.2778549758875744e+16,-1070553563659563.1
0.361328125,7.040082223408208e+18,11024405525753.734,22.725571409111677,71.84596590527347,20.147756186803292,63.696308913630915,63.28218225153709,-1.2069971053500606e+16,-1123342007861858.1
0.380859375,7.044330005858437e+18,11034659027042.97,22.7256428242529,71.84578980282488,20.135670218823513,63.6577435414859,63.25676397321958,-1826535991208376.2,-1175107590881007.2
0.400390625,7.048585032551219e+18,11045288944696.816,22.725701637708866,71.84557273615358,20.123566976946588,63.61912299277653,63.23054449867307,7138947915579525.0,-1225856609483061.5
0.419921875,7.052850238067642e+18,11056283784807.113,22.725757161480324,71.84534413475183,20.11144640244532,63.58044707554204,63.20356140660073,1.4480184510316378e+16,-1275597792240791.2
0.439453125,7.057127493169432e+18,11067632576147.906,22.725815258640527,71.84512252346124,20.09930843655771,63.541715597219486,63.1758504856461,2.0163315798630584e+16,-1324341967442197.5
0.458984375,7.061417848117163e+18,11079324842625.412,22.72587913638486,71.84491803063857,20.087153020220363,63.50292836445539,63.14744581964201,2.4342729056188252e+16,-1372101772074320.8
0.478515625,7.065721763124022e+18,11091350578293.219,22.725950095026267,71.84473475661932,20.07498009391389,63.46408518296134,63.11837986746791,2.7267660515970736e+16,-1418891395702745.5
0.498046875,7.070039307583469e+18,11103700224597.158,22.72602817402642,71.84457281640492,20.06278959757569,63.42518585741062,63.08868353796184,2.9216914684735976e+16,-1464726353945137.0
0.517578125,7.074370319251391e+18,11116364649475.03,22.72611266713463,71.84442996832114,20.05058147057087,63.386230191369556,63.05838626049323,3.0457151472827644e+16,-1509623287139841.5
0.537109375,7.078714522663304e+18,11129335127958.004,22.726202504839353,71.84430282305162,20.03835565170094,63.347217987255114,63.02751605181259,3.1219534513735676e+16,-1553599780667808.2
0.556640625,7.08307161108828e+18,11142603324093.406,22.726296518461783,71.84418767842779,20.026112079229886,63.30814904631227,62.996099579407094,3.168970658881685e+16,-1596674204100433.0
0.576171875,7.087441298122424e+18,11156161273975.736,22.72639360594913,71.84408104340763,20.013850690922276,63.269023168603965,62.964162221744516,3.2006708581891336e+16,-1638865566883869.0
0.595703125,7.091823346269062e+18,11170001369662.424,22.726492823305545,71.84397992698761,20.00157142407581,63.229840153008915,62.93172812587131,3.226731077667559e+16,-1680193388742526.2
0.615234375,7.096217578417606e+18,11184116343878.527,22.72659342091658,71.8438819529003,19.98927421555499,63.19059979722348,62.898820262534606,3.253308432175983e+16,-1720677583351553.8
0.634765625,7.100623878103624e+18,11198499255423.504,22.7266948438208,71.84378536036158,19.9769590018183,63.151301897764455,62.8654604790099,3.2838326732152596e+16,-1760338354059491.0
0.654296875,7.105042183229904e+18,11213143475219.66,22.72679671105166,71.843688938679,19.964625718938397,63.11194624997136,62.831669549769465,3.319764185864696e+16,-1799196100618453.2
