dist,SOLEDGE_Te,SOLEDGE_Ti
0.050481993322514795,53.17538412439868,88.13287317488493
0.10103864848570876,53.167298717395326,88.0811629492025
0.1511841269968871,53.1517181935499,87.98307838181185
0.20020409782729265,53.12850439842856,87.84016538252399
0.24814219281749106,53.09743847676678,87.6533832538884
0.2947386394990409,53.05794137983867,87.42179295376144
0.3395665233934625,53.010069275382136,87.147277112601
0.38247323185756554,52.953737095180685,86.8304263181895
0.4233328283087109,52.888454353125,86.46899645676774
0.4626988837963021,52.81204525779799,86.05167981028212
0.5015914115583952,52.721296056583675,85.56209105223323
0.5426089700751705,52.60303077958846,84.93179700204313
0.5897029978813434,52.430365793792774,84.01081867098091
0.6470754705421425,52.16964964957162,82.49150357212889
0.726056975892576,51.877755385465434,80.53617763450977
0.7811192374238206,51.23425653636501,76.07331756177464
0.7989599688733137,50.73319995738412,72.4258594049733
0.816007423723191,50.292585510364304,69.20490389939528
0.8323498676796707,49.94197095816016,66.4177321753242
0.8482244432156728,49.6652160139749,63.98301169634331
0.8635604319282596,49.44872182088168,61.87369982102055
0.878157294733254,49.281509801643196,60.08056817011899
0.8919170074271457,49.1531680867315,58.57881718108416
0.9047959867903522,49.05505986699291,57.337801308419785
0.9168066338309379,48.9800528224018,56.321876112696465
0.9279210495184983,48.922789472672484,55.498755837559784
0.9380478644560065,48.879399968752516,54.84255004572513
0.9471087382788118,48.846906924651115,54.328985915777736
0.955092347351825,48.82276377245643,53.93308534799231
0.9620521676208466,48.80483691117446,53.629959130598124
0.9680083334444344,48.79170670610946,53.40190060985553
0.9729856362064943,48.78235091633726,53.23556332498741
0.9770065291014153,48.776026342633784,53.12077800998795
0.9800737839388561,48.77257018751467,53.055900678072234
