dist,SOLPS_Te,SOLPS_Ti
0.089072547972879,56.29016697862721,105.33151711553299
0.177356082074126,56.2710555980454,105.25783456047736
0.262905789242097,56.23061555110168,105.10966995021863
0.346902351901078,56.165378105375716,104.88246504827701
0.427385140337186,56.07129817795384,104.56680795972713
0.502908662416936,55.939715228212094,104.14552222146703
0.574264491407118,55.758181019374796,103.57837468869634
0.639562350191305,55.50492769425336,102.80264029227837
0.695233531301897,55.13779004711784,101.71213556466402
0.740899119008766,54.563189746839114,100.12348371861493
0.778550205669804,53.52312087702532,97.50005738053073
0.799266871266999,52.00071173351098,93.38239103964483
0.830666157766624,49.76940270988911,84.1327275167275
0.858690375824183,41.96095814380347,76.5218768713532
0.8858589470626339,38.53025500740953,72.44650021119031
0.9089614893823409,36.000927082672284,69.97242004508028
0.9291328838947899,33.83157947805707,68.45314267936193
0.9472024001627929,32.31491386408775,67.46002248834012
0.9632018089921079,31.243599259561158,66.79649132366474
0.9787573826331899,30.51091280599941,66.33682832917366
0.9932459319851019,30.14981442103699,65.99555035272961
1.0048367315718298,29.881280768105523,65.7583145326
1.0148668703488488,29.677396936977196,65.60103445030892
1.0234693877124101,29.560768047782524,65.48923522267594
1.0302816572366125,29.468862649223126,65.41102594314361
1.0359738380070664,29.41122899460405,65.35757688983055
1.040148538298921,29.37451507270782,65.32234788668072
1.0429512745249134,29.350575164875604,65.30272448500396
1.0445813493375438,29.337940124244394,65.29428078225109
1.0451041071452511,29.332337877198427,65.29285082869194
